"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User management in the database","2","0","Query reservations for a specific user","0"
"0","","0","Validate the Cat Breeds API from CatFact Ninja","1","0","Get cat breeds with limit 10","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the email field: ""test""","0"
"0","","0","Validate the Cat Breeds API from CatFact Ninja","1","0","Get cat breeds with limit 0","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the phone field: ""abc""","0"
"0","","0","Validate the Cat Breeds API from CatFact Ninja","1","0","Get cat breeds with limit 1000","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the phone field: ""1""","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the email field: ""test@test.test@""","0"
"0","","0","Form tests on the Contact pages","1","0","Send correct content in the contact form","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the email field: ""test@""","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the phone field: ""1234567a""","0"
"0","","0","Form tests on the Contact pages","1","0","Send form submission with required fields missing","0"
"0","","0","User management in the database","1","0","Insert a new user","0"
"0","","0","Form tests on the Contact pages","1","0","Send incorrect content in the phone field: ""123456""","0"
"0","","0","Validate the Cat Breeds API from CatFact Ninja","1","0","Get cat breeds with limit 5","0"
"0","","0","Validate the Cat Breeds API from CatFact Ninja","1","0","Get cat breeds with limit 1","0"
